,result,table,_start,_stop,_time,_measurement,host,stanza,percepita,temperatura,umidita
84,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:22.975876+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
85,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:28.236094+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
86,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:33.507407+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
87,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:38.767316+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
88,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:44.036630+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
89,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:49.297088+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
90,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:54.566334+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
91,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:59.826383+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
92,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:05.098605+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
93,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:10.358796+00:00,ambiente,raspberry_pi_4,camera,34.3,34.0,35.0
94,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:15.628141+00:00,ambiente,raspberry_pi_4,camera,34.3,34.0,35.0
95,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:20.888383+00:00,ambiente,raspberry_pi_4,camera,34.1,33.9,35.0
96,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:26.157425+00:00,ambiente,raspberry_pi_4,camera,34.1,33.9,35.0
97,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:31.418819+00:00,ambiente,raspberry_pi_4,camera,34.1,33.9,35.0
98,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:36.689544+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
99,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:41.951087+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
