,result,table,_start,_stop,_time,_measurement,host,stanza,percepita,temperatura,umidita
102,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:31.688990+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
103,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:36.960319+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
104,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:42.220385+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
105,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:47.491282+00:00,ambiente,raspberry_pi_4,camera,37.0,34.7,41.0
106,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:52.751295+00:00,ambiente,raspberry_pi_4,camera,37.0,34.7,41.0
107,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:58.022527+00:00,ambiente,raspberry_pi_4,camera,37.0,34.7,41.0
108,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:52:03.285398+00:00,ambiente,raspberry_pi_4,camera,37.0,34.7,41.0
109,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:52:08.554820+00:00,ambiente,raspberry_pi_4,camera,37.0,34.7,41.0
110,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:52:13.815171+00:00,ambiente,raspberry_pi_4,camera,37.0,34.7,41.0
111,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:52:19.086753+00:00,ambiente,raspberry_pi_4,camera,37.0,34.7,41.0
112,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:52:24.346835+00:00,ambiente,raspberry_pi_4,camera,37.0,34.7,41.0
113,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:52:29.616186+00:00,ambiente,raspberry_pi_4,camera,37.0,34.7,41.0
114,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:52:34.876487+00:00,ambiente,raspberry_pi_4,camera,37.0,34.7,41.0
