,result,table,_start,_stop,_time,_value,_field,_measurement,host,stanza
84,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:10.869531+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
85,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:16.139029+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
86,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:21.399251+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
87,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:26.669001+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
88,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:31.929049+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
89,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:37.200131+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
90,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:42.460154+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
91,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:47.730764+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
92,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:52.990762+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
93,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:58.260444+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
94,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:03.520724+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
95,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:08.791827+00:00,34.7,percepita,ambiente,raspberry_pi_4,camera
96,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:14.051969+00:00,34.7,percepita,ambiente,raspberry_pi_4,camera
97,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:19.321770+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
98,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:24.581767+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
99,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:29.851694+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
100,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:35.113403+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
101,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:40.383689+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
102,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:45.643489+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
103,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:50.913193+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
104,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:28:56.173204+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
105,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:01.446431+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
106,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:06.708140+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
107,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:11.977867+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
108,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:22.503042+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
109,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:27.763111+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
110,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:33.033899+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
111,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:38.294052+00:00,34.7,percepita,ambiente,raspberry_pi_4,camera
112,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:43.563950+00:00,34.7,percepita,ambiente,raspberry_pi_4,camera
113,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:48.824085+00:00,34.7,percepita,ambiente,raspberry_pi_4,camera
114,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:54.093884+00:00,34.7,percepita,ambiente,raspberry_pi_4,camera
115,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:29:59.354225+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
116,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:30:04.625439+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
